Character,Moon,CharMoon,Move,Damage,Red Damage,Proration,Cancel,Guard,First Active,Active,Recovery,Frame Adv,TotalFrames,Circuit,Image,Image2
Akiha,Full_Moon,F-Akiha,5A,300,121,70% (O),"-SE-, -N-, -SP-, -EX-, (J)",LH,5,4,6,2,14,2.7%,https://wiki.gbl.gg/images/7/78/Fakiha_5a.png,
Akiha,Full_Moon,F-Akiha,5B,600,353,90% (O),"N, SP, EX (J)",L,8,5,11,-1,23,5.4%,https://wiki.gbl.gg/images/c/c6/Fakiha_5b.png,
Akiha,Full_Moon,F-Akiha,5C,1000,707,90% (M),"N, SP, EX (J)",LH,11,6,15,-3,31,7.2%,https://mizuumi.wiki/images/8/81/C-Akiha5C.png,
Akiha,Full_Moon,F-Akiha,2A,300,151,70% (O),"-SE-, -N-, -SP-, -EX-, (J)",L,5,4,5,3,13,2.7%,https://mizuumi.wiki/images/9/91/Fakiha_2a.png,
Akiha,Full_Moon,F-Akiha,2B,"500, 400 (828)",(427),85% (O),"N, SP, EX (J)",L,7,4 (6) 4,9,"-8, 2",29,"4.5%, 3.6% (8.1%)",https://mizuumi.wiki/images/b/ba/C-Akiha2B.png,
Akiha,Full_Moon,F-Akiha,2C,1000,606,55% (O),"N, SP, EX (J)",L,8,5,14,-1,26,7.2%,https://mizuumi.wiki/images/d/d4/Fakiha_2c.png,
Akiha,Full_Moon,F-Akiha,j.A,350,151,75% (O),"SE, N, SP, EX, J",HA,5,4,11,-,19,2.7%,https://mizuumi.wiki/images/5/57/Fakiha-ja.png,
Akiha,Full_Moon,F-Akiha,j.B,550,404,90% (O),"N, SP, EX, J",HA,7,5,-,-,11,4.9%,https://mizuumi.wiki/images/0/0a/Fakiha_jb.png,
Akiha,Full_Moon,F-Akiha,j.C,900,505,90% (O) / 50% (O),"N, SP, EX, J",HA,10,4,-,-,13,7.2%,https://mizuumi.wiki/images/7/78/Fakiha_jc.png,
Akiha,Full_Moon,F-Akiha,3C,1200,707,70% (O),"SP, EX, J",LH,11,4,18,-4,32,10.8%,https://mizuumi.wiki/images/c/cc/Fakiha_3c.png,
Akiha,Full_Moon,F-Akiha,4C,500*2 (840),(592),80% (O),"SP, EX, (J)",LH,8,"2, 2",26,-10,37,6.3%*2 (12.6%),https://mizuumi.wiki/images/b/b9/Akiha_4c.png,
Akiha,Full_Moon,F-Akiha,6C,600,404,80% (O),"SP, EX, (J)",LH,8,4,22,-8,33,7.2%,https://mizuumi.wiki/images/6/60/Akiha_6c.png,
Akiha,Full_Moon,F-Akiha,j.2C,700,303,70% (M),"SP, EX, (J)",LHA,14,7,-,8 (TK),20,5.4%,https://wiki.gbl.gg/images/7/7b/Fakiha_j2c.png,
Akiha,Full_Moon,F-Akiha,Ground Throw,200*7 (1266),(615),100%,-,U,3,1,22,-,25,0.0%,https://mizuumi.wiki/images/a/af/MB_C-Akiha_Throw.png,
Akiha,Full_Moon,F-Akiha,Air Throw,1600 (Raw) 1000,489,30%,-,U,2,1,Until Landing+12,-,14,0.0%,https://mizuumi.wiki/images/0/05/MB_C-Akiha_Throw_Air.png,
Akiha,Full_Moon,F-Akiha,Shield Counter (Ground),500 (345),202,50%,"(SP), (EX), (J)",LHA,9,4,18,-4,30,4.5%,https://mizuumi.wiki/images/6/6f/MB_F-Akiha_236D.png,
Akiha,Full_Moon,F-Akiha,Shield Counter (Air),500 (345),202,50%,-,HA,9,2,-,-,30,4.5%,https://mizuumi.wiki/images/6/6f/MB_F-Akiha_236D.png,
Akiha,Full_Moon,F-Akiha,Shield Bunker (Bunker),500,202,100%,-,LHA,26,4,19,-5,48,0.0% (-50.0% in blockstun),https://mizuumi.wiki/images/9/94/MB_C-Akiha_214D.png,
Akiha,Full_Moon,F-Akiha,Shield Bunker ((Clash)),500,202,100%,-,LHA,7,4,19,-5,48,0.0%/-50.0%,https://mizuumi.wiki/images/9/94/MB_C-Akiha_214D.png,
Akiha,Full_Moon,F-Akiha,Heat Activation,100,0,100%,-,U,17,8,25,-,49,uses all,https://wiki.gbl.gg/images/8/83/MB_C-Akiha_ABC.png,
Akiha,Full_Moon,F-Akiha,Circuit Spark (Ground),100,0,100%,-,U,11,10,20,-,40,removes all,https://mizuumi.wiki/images/e/e2/MB_C-Akiha_CSpark.png,
Akiha,Full_Moon,F-Akiha,Circuit Spark (Air),100,0,100%,-,U,12,10,Until Landing+15,-,40,removes all,https://mizuumi.wiki/images/e/e2/MB_C-Akiha_CSpark.png,
Akiha,Full_Moon,F-Akiha,236A,400*3 (932),(706),70% (O),-EX-,LHA,16,"2, 2, 2",20,-4,41,3.6%*3 (10.8%),https://mizuumi.wiki/images/a/a3/MB_C-Akiha_236_Startup.png,
Akiha,Full_Moon,F-Akiha,236B,1000,808,70% (O),-EX-,LHA,10,6,29,-20,41,9.9%,https://mizuumi.wiki/images/a/a3/MB_C-Akiha_236_Startup.png,
Akiha,Full_Moon,F-Akiha,236C,200*24 (2921),(1902),70% (O),-EX-,LHA,2+19,36,14,16 (vs Stand.) 17 (vs Crouch.),41,-100.0%,https://mizuumi.wiki/images/a/a3/MB_C-Akiha_236_Startup.png,
Akiha,Full_Moon,F-Akiha,623A,"600, 800 (1282)",(560),100%,-,"LH, LHA",6,7 (3) 4,27,-13,46,"5.4%, 7.2% (12.6%)",https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
Akiha,Full_Moon,F-Akiha,623B,"400*2, 600, 800 (1987)",(787),100%,EX (1-2),"LH (1-3), LHA (4)",9,2 (4) 2 (13) 3 (7) 4,33,-17,46,"3.6%*2, 5.4%, 7.2% (19.8%)",https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
Akiha,Full_Moon,F-Akiha,623C,"400, 1000, 1500 (1502)",(1092),"50% (O), 45% (O)","(N), (SP), (EX), (J)","LH (1-3), LHA (4)",4+3,2 (4) 5 (3) 2 (3) 5 (7) 4,43,-29,46,-100.0%,https://mizuumi.wiki/images/0/0c/MBAACC_C-Akiha_623a.png,
